Ref,Val,Package,PosX,PosY,Rot,Side
"U2","LMR51635YDDCR","SOT-23-6",28.875000,49.050000,180.000000,bottom
"C1","47uF","C_0805_2012Metric",14.925000,33.900000,90.000000,top
"C2","47uF","C_0805_2012Metric",16.825000,36.675000,180.000000,top
"C3","1uF","C_0402_Small",17.565000,38.025000,0.000000,top
"C4","0.1uF","C_0402_Small",17.565000,39.040000,0.000000,top
"C5","0.1uF","C_0402_Small",19.335000,39.040000,180.000000,top
"C6","1uF","C_0402_Small",19.335000,38.025000,180.000000,top
"C7","47uF","C_0805_2012Metric",20.075000,36.675000,0.000000,top
"C8","47uF","C_0805_2012Metric",21.925000,33.900000,90.000000,top
"C10","47uF","C_0805_2012Metric",36.175000,33.900000,90.000000,top
"C11","47uF","C_0805_2012Metric",31.075000,36.675000,180.000000,top
"C12","1uF","C_0402_Small",31.800000,38.025000,0.000000,top
"C13","0.1uF","C_0402_Small",31.800000,39.040000,0.000000,top
"C14","0.1uF","C_0402_Small",33.600000,39.040000,180.000000,top
"C15","1uF","C_0402_Small",33.600000,38.025000,180.000000,top
"C16","47uF","C_0805_2012Metric",34.325000,36.675000,0.000000,top
"C17","47uF","C_0805_2012Metric",29.175000,33.900000,90.000000,top
"C18","47uF","C_0805_2012Metric",43.425000,33.900000,90.000000,top
"C19","47uF","C_0805_2012Metric",45.325000,36.675000,180.000000,top
"C20","1uF","C_0402_Small",46.065000,38.025000,0.000000,top
"C21","0.1uF","C_0402_Small",46.065000,39.040000,0.000000,top
"C22","0.1uF","C_0402_Small",47.835000,39.040000,180.000000,top
"C23","1uF","C_0402_Small",47.835000,38.025000,180.000000,top
"C24","47uF","C_0805_2012Metric",48.575000,36.675000,0.000000,top
"C25","47uF","C_0805_2012Metric",50.425000,33.900000,90.000000,top
"C28","22uF","C_0805_2012Metric",22.950000,45.200000,0.000000,top
"C32","22uF","C_0805_2012Metric",19.550000,45.200000,180.000000,top
"D1","12V","D_SOD-323",34.800000,45.800000,0.000000,top
"D2","SMAJ54CA","D_SMA",28.200000,46.100000,180.000000,top
"D6","GREEN","LED_0402_1005Metric",22.800000,47.425000,180.000000,top
"J1","SEAF-20-05.0-L-10-2-A-K-TR","SAMTEC_SEAF-20-05.0-L-10-2-A-K-TR",32.500000,22.050000,0.000000,top
"J2","2147210101","Molex_Zero-Hachi_214721-00XX_1x10_P0.8mm_Horizontal",25.950000,49.750000,180.000000,top
"J4","2147210121","Molex_Zero-Hachi_214721-00XX_1x12_P0.8mm_Horizontal",38.250000,49.750000,180.000000,top
"J5","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",25.200000,2.250000,0.000000,top
"J6","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",15.200000,2.250000,0.000000,top
"J7","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",5.200000,2.250000,0.000000,top
"J9","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",5.200000,49.750000,180.000000,top
"J11","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",15.200000,49.750000,180.000000,top
"J13","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",39.800000,2.250000,0.000000,top
"J14","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",59.800000,49.750000,180.000000,top
"J15","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",49.800000,2.250000,0.000000,top
"J17","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",59.800000,2.250000,0.000000,top
"J18","2147210081","Molex_Zero-Hachi_214721-00XX_1x08_P0.8mm_Horizontal",49.800000,49.750000,180.000000,top
"J24","Conn_Coaxial","U.FL_Hirose_U.FL-R-SMT-1_Vertical",32.500000,2.400000,-90.000000,top
"L1","3.3uH","L_1008_2520Metric",17.150000,33.925000,90.000000,top
"L2","3.3uH","L_1008_2520Metric",19.750000,33.925000,90.000000,top
"L3","3.3uH","L_1008_2520Metric",31.400000,33.925000,90.000000,top
"L4","3.3uH","L_1008_2520Metric",34.000000,33.925000,90.000000,top
"L5","3.3uH","L_1008_2520Metric",45.650000,33.925000,90.000000,top
"L6","3.3uH","L_1008_2520Metric",48.250000,33.925000,90.000000,top
"R1","DNI","R_0603_1608Metric",32.450000,45.800000,-90.000000,top
"R2","56K","R_0402_1005Metric",35.050000,44.375000,180.000000,top
"R4","4.99K","R_0402_1005Metric",20.125000,31.500000,180.000000,top
"R5","4.99K","R_0402_1005Metric",18.250000,31.500000,0.000000,top
"R6","4.99K","R_0402_1005Metric",16.375000,31.500000,0.000000,top
"R7","4.99K","R_0402_1005Metric",14.925000,31.300000,90.000000,top
"R8","4.99K","R_0402_1005Metric",13.950000,31.300000,-90.000000,top
"R9","100R","R_0402_1005Metric",22.500000,31.300000,-90.000000,top
"R12","DNP","R_0402_1005Metric",13.000000,31.300000,-90.000000,top
"R13","4.99K","R_0402_1005Metric",21.525000,31.300000,90.000000,top
"R16","1K","R_0402_1005Metric",26.850000,42.875000,90.000000,top
"R17","4.99K","R_0402_1005Metric",33.850000,31.525000,180.000000,top
"R18","4.99K","R_0402_1005Metric",31.975000,31.525000,0.000000,top
"R19","4.99K","R_0402_1005Metric",29.050000,29.800000,0.000000,top
"R20","4.99K","R_0402_1005Metric",29.050000,31.700000,180.000000,top
"R21","4.99K","R_0402_1005Metric",29.050000,30.750000,0.000000,top
"R22","100R","R_0402_1005Metric",32.850000,30.175000,0.000000,top
"R23","DNP","R_0402_1005Metric",31.000000,30.525000,180.000000,top
"R24","4.99K","R_0402_1005Metric",35.725000,31.525000,0.000000,top
"R26","4.99K","R_0402_1005Metric",48.625000,31.500000,180.000000,top
"R27","4.99K","R_0402_1005Metric",46.750000,31.500000,0.000000,top
"R28","4.99K","R_0402_1005Metric",44.875000,31.500000,0.000000,top
"R29","4.99K","R_0402_1005Metric",43.425000,31.300000,90.000000,top
"R30","4.99K","R_0402_1005Metric",42.475000,31.300000,-90.000000,top
"R31","100R","R_0402_1005Metric",51.000000,31.300000,-90.000000,top
"R32","DNP","R_0402_1005Metric",41.450000,31.300000,-90.000000,top
"R33","4.99K","R_0402_1005Metric",50.025000,31.300000,90.000000,top
"R35","1K","R_0402_1005Metric",20.925000,47.425000,0.000000,top
